Species
Alstroemeria cunha
Alternanthera bahiensis
Hebanthe eriantha
Hippeastrum aulicum
Hippeastrum brasilianum
Hippeastrum glaucescens
Hippeastrum striatum
Allamanda laevis
Aspidosperma parvifolium
Aspidosperma gomezianum
Ditassa mucronata
Mandevilla alata
Mandevilla crassinoda
Mandevilla fistulosa
Mandevilla grazielae
Mandevilla ibitubana
Mandevilla moricandiana
Mandevilla tenuifolia
Marsdenia macrophylla
Marsdenia caatingae
Marsdenia loniceroides
Marsdenia otoniensis
Oxypetalum banksii
Oxypetalum pilosum
Tabernaemontana catharinensis
Anthurium lhotzkyanum
Anthurium coriaceum
Anthurium marcusianum
Anthurium microphyllum
Anthurium minarum
Anthurium mucuri
Anthurium parasiticum
Anthurium sucrii
Anthurium viridispathum
Philodendron edmundoi
Allagoptera arenaria
Syagrus picrophylla
Syagrus romanzoffiana
Syagrus ruschiana
Aristolochia gracilipedunculata
Furcraea foetida
Achyrocline satureioides
Ageratum conyzoides
Baccharis glutinosa
Baccharis platypoda
Baccharis salicifolia
Baccharis serrulata
Baccharis trinervis
Barrosoa apiculata
Blainvillea acmella
Campuloclinium macrocephalum
Clibadium armanii
Cololobus argenteus
Cololobus longiangustatus
Cololobus rupestris
Cyanthillium cinereum
Cyrtocymura scorpioides
Emilia fosbergii
Emilia sonchifolia
Eremanthus crotonoides
Eremanthus erythropappus
Gorceixia decurrens
Lepidaploa cotoneaster
Lepidaploa sororia
Lessingianthus squamosus
Mikania lanuginosa
Mikania micrantha
Mikania microcephala
Praxelis clematidea
Tridax procumbens
Wunderlichia azulensis
Begonia aconitifolia
Begonia aguiabrancensis
Begonia albidula
Begonia callosa
Begonia cucullata
Begonia curtii
Begonia goldingiana
Begonia hirtella
Begonia ibitiocensis
Begonia kuhlmannii
Begonia lossiae
Begonia maculata
Begonia novalombardiensis
Begonia obdeltata
Begonia pachypoda
Begonia reniformis
Begonia sanguinea
Begonia ulmifolia
Begonia venosa
Fridericia rego
Fridericia subincana
Handroanthus selachidentatus
Jacaranda jasminoides
Jacaranda puberula
Tabebuia reticulata
Tournefortia salicifolia
Aechmea gurkeniana
Aechmea nudicaulis
Aechmea sphaerocephala
Alcantarea abacta
Alcantarea burle-marxii
Alcantarea cerosa
Alcantarea distractila
Alcantarea extensa
Alcantarea galactea
Alcantarea geniculata
Alcantarea glaucifolia
Alcantarea glaziouana
Alcantarea heloisae
Alcantarea imperialis
Alcantarea lanceopetala
Alcantarea longibracteata
Alcantarea nahoumii
Alcantarea nigripetala
Alcantarea pataxoana
Alcantarea patriae
Alcantarea regina
Alcantarea roberto-kautskyi
Alcantarea simplicisticha
Alcantarea trepida
Alcantarea turgida
Billbergia pyramidalis
Dyckia bracteata
Dyckia espiritosantensis
Dyckia sordida
Encholirium gracile
Encholirium horridum
Neoregelia ampullacea
Neoregelia cruenta
Neoregelia dactyloflammans
Neoregelia retrorsa
Neoregelia sarmentosa
Orthophytum alvimii
Orthophytum benzingii
Orthophytum buranhense
Orthophytum compactum
Orthophytum duartei
Orthophytum estevesii
Orthophytum falconii
Orthophytum fosterianum
Orthophytum grossiorum
Orthophytum guaratingense
Orthophytum gurkenii
Orthophytum horridum
Orthophytum lanuginosum
Orthophytum leprosum
Orthophytum magalhaesii
Orthophytum pseudovagans
Orthophytum rubiginosum
Orthophytum sucrei
Orthophytum teofilo-otonense
Orthophytum zanonii
Pitcairnia abyssicola
Pitcairnia albiflos
Pitcairnia azouryi
Pitcairnia barbatostigma
Pitcairnia capixaba
Pitcairnia carinata
Pitcairnia decidua
Pitcairnia diversifolia
Pitcairnia encholirioides
Pitcairnia flammea
Pitcairnia glauca
Pitcairnia glaziovii
Pitcairnia staminea
Quesnelia quesneliana
Stigmatodon amadoi
Stigmatodon apparicianus
Stigmatodon belloi
Stigmatodon bifidus
Stigmatodon brassicoides
Stigmatodon euclidianus
Stigmatodon funebris
Stigmatodon goniorachis
Stigmatodon harrylutheri
Stigmatodon magnibracteatus
Stigmatodon multifoliatus
Stigmatodon plurifolius
Stigmatodon sanctateresensis
Tillandsia araujei
Tillandsia brachyphylla
Tillandsia gardneri
Tillandsia geminiflora
Tillandsia loliacea
Tillandsia mallemontii
Tillandsia nuptialis
Tillandsia recurvata
Tillandsia stricta
Tillandsia sucrei
Tillandsia tenuifolia
Tillandsia tricholepis
Tillandsia usneoides
Vriesea botafogensis
Vriesea fontanae
Vriesea neoglutinosa
Vriesea procera
Vriesea saundersii
Vriesea vellozicola
Burmannia capitata
Cereus hildmannianus
Cereus fernambucensis
Coleocephalocereus braunii
Coleocephalocereus buxbaumianus
Coleocephalocereus decumbens
Coleocephalocereus fluminensis
Coleocephalocereus pluricostatus
Hatiora cylindrica
Hylocereus setaceus
Lepismium cruciforme
Pereskia aculeata
Pilosocereus arrabidae
Pilosocereus brasiliensis
Rhipsalis floccosa
Rhipsalis cereoides
Rhipsalis grandiflora
Rhipsalis triangularis
Kielmeyera coriacea
Kielmeyera membranacea
Kielmeyera rupestris
Lobelia thapsoidea
Canna indica
Clusia criuva
Clusia fluminensis
Clusia spiritu-sanctensis
Commelina benghalensis
Commelina erecta
Evolvulus ericifolius
Evolvulus glomeratus
Ipomoea bahiensis
Ipomoea grandifolia
Jacquemontia glaucescens
Jacquemontia holosericea
Jacquemontia martii
Kalanchoe crenata
Kalanchoe delagoensis
Bulbostylis scabra
Bulbostylis capillaris
Bulbostylis hirtella
Bulbostylis lagoensis
Bulbostylis truncata
Cyperus coriifolius
Cyperus hermaphroditus
Cyperus luzulae
Cyperus pohlii
Cyperus uncinulatus
Fuirena umbellata
Rhynchospora riparia
Rhynchospora rugosa
Rhynchospora tenuis
Scleria hirtella
Scleria latifolia
Trilepis ciliatifolia
Trilepis lhotzkiana
Trilepis microstachya
Davilla hirsuticarpa
Dioscorea basiclavicaulis
Dioscorea cinnamomifolia
Dioscorea glandulosa
Dioscorea medusae
Dioscorea ovata
Dioscorea polygonoides
